"Story","Title","Result","Date","Stability","Duration (s)"
"Cerrar sesion en la pagina de la Libreria Nacional","Buscar tema en la pagina de la Libreria Nacional Exitoso","ERROR","2021-01-29T14:46:18.173-05:00[America/Bogota]","0.0","1.97"
"Cerrar sesion en la pagina de la Libreria Nacional","Cerrar sesion en la pagina de la Libreria Nacional Exitoso","ERROR","2021-01-29T14:46:22.643-05:00[America/Bogota]","0.0","0.08"
"Iniciar sesion en la pagina de la Libreria Nacional","Inicio de sesion en la pagina de la Libreria Nacional Exitoso","ERROR","2021-01-29T14:46:22.793-05:00[America/Bogota]","0.0","0.04"
