"Story","Title","Result","Date","Stability","Duration (s)"
"Cerrar sesion en la pagina de la Libreria Nacional","Buscar tema en la pagina de la Libreria Nacional Exitoso","ERROR","2021-01-29T14:38:01.541-05:00[America/Bogota]","0.0","2.05"
"Cerrar sesion en la pagina de la Libreria Nacional","Cerrar sesion en la pagina de la Libreria Nacional Exitoso","ERROR","2021-01-29T14:38:07.067-05:00[America/Bogota]","0.0","0.12"
"Iniciar sesion en la pagina de la Libreria Nacional","Inicio de sesion en la pagina de la Libreria Nacional Exitoso","ERROR","2021-01-29T14:38:07.37-05:00[America/Bogota]","0.0","0.11"
